date,coin,search_interest
2025-04-04,ETHEREUM,56
2025-04-05,ETHEREUM,39
2025-04-06,ETHEREUM,55
2025-04-07,ETHEREUM,86
2025-04-08,ETHEREUM,66
2025-04-09,ETHEREUM,76
2025-04-10,ETHEREUM,59
2025-04-11,ETHEREUM,50
2025-04-12,ETHEREUM,45
2025-04-13,ETHEREUM,41
2025-04-14,ETHEREUM,42
2025-04-15,ETHEREUM,41
2025-04-16,ETHEREUM,40
2025-04-17,ETHEREUM,38
2025-04-18,ETHEREUM,36
2025-04-19,ETHEREUM,33
2025-04-20,ETHEREUM,32
2025-04-21,ETHEREUM,46
2025-04-22,ETHEREUM,56
2025-04-23,ETHEREUM,59
2025-04-24,ETHEREUM,45
2025-04-25,ETHEREUM,41
2025-04-26,ETHEREUM,40
2025-04-27,ETHEREUM,39
2025-04-28,ETHEREUM,44
2025-04-29,ETHEREUM,42
2025-04-30,ETHEREUM,35
2025-05-01,ETHEREUM,46
2025-05-02,ETHEREUM,43
2025-05-03,ETHEREUM,35
2025-05-04,ETHEREUM,37
2025-05-05,ETHEREUM,38
2025-05-06,ETHEREUM,42
2025-05-07,ETHEREUM,40
2025-05-08,ETHEREUM,84
2025-05-09,ETHEREUM,100
2025-05-10,ETHEREUM,83
2025-05-11,ETHEREUM,80
2025-05-12,ETHEREUM,89
2025-05-13,ETHEREUM,85
2025-05-14,ETHEREUM,73
2025-05-15,ETHEREUM,58
2025-05-16,ETHEREUM,48
2025-05-17,ETHEREUM,46
2025-05-18,ETHEREUM,56
2025-05-19,ETHEREUM,55
2025-05-20,ETHEREUM,56
2025-05-21,ETHEREUM,68
2025-05-22,ETHEREUM,86
2025-05-23,ETHEREUM,67
2025-05-24,ETHEREUM,47
2025-05-25,ETHEREUM,42
2025-05-26,ETHEREUM,49
2025-05-27,ETHEREUM,63
2025-05-28,ETHEREUM,54
2025-05-29,ETHEREUM,61
2025-05-30,ETHEREUM,47
2025-05-31,ETHEREUM,14
2025-06-01,ETHEREUM,14
2025-06-02,ETHEREUM,15
2025-06-03,ETHEREUM,17
2025-06-04,ETHEREUM,16
2025-06-05,ETHEREUM,17
2025-06-06,ETHEREUM,15
2025-06-07,ETHEREUM,13
2025-06-08,ETHEREUM,14
2025-06-09,ETHEREUM,21
2025-06-10,ETHEREUM,24
2025-06-11,ETHEREUM,25
2025-06-12,ETHEREUM,19
2025-06-13,ETHEREUM,21
2025-06-14,ETHEREUM,16
2025-06-15,ETHEREUM,14
2025-06-16,ETHEREUM,20
2025-06-17,ETHEREUM,17
2025-06-18,ETHEREUM,17
2025-06-19,ETHEREUM,15
2025-06-20,ETHEREUM,14
