date,coin,price,volume,market_cap
2025-09-08T00:00:00Z,BITCOIN,111131.9923868407,22147049159.335133,2213764479139.3647
2025-09-09T00:00:00Z,BITCOIN,112025.12878118771,37159847899.8603,2231763512226.867
2025-09-10T00:00:00Z,BITCOIN,111547.43956434788,45338021458.38368,2222026777598.0474
2025-09-11T00:00:00Z,BITCOIN,113975.32489468766,52205187155.05567,2270241314652.7144
2025-09-12T00:00:00Z,BITCOIN,115503.16663193036,43752917632.95067,2299764311655.674
2025-09-13T00:00:00Z,BITCOIN,116160.14344594491,51192951485.864395,2314347371939.946
2025-09-14T00:00:00Z,BITCOIN,115970.58488443034,30063858747.76022,2310166037871.29
2025-09-15T00:00:00Z,BITCOIN,115373.55555886829,26889399414.610912,2297459118244.424
2025-09-16T00:00:00Z,BITCOIN,115397.25272727509,46947581231.08198,2297977599504.5527
2025-09-17T00:00:00Z,BITCOIN,116762.8496864193,39964451595.099724,2325326932460.9644
2025-09-18T00:00:00Z,BITCOIN,116455.94648225319,54740952295.37868,2321583680138.891
2025-09-19T00:00:00Z,BITCOIN,117145.49508952006,43642467075.25838,2333705338232.097
2025-09-20T00:00:00Z,BITCOIN,115655.81046441344,34296721252.33001,2303469041668.8
2025-09-21T00:00:00Z,BITCOIN,115715.51536781774,18774953731.290394,2305371926506.302
2025-09-22T00:00:00Z,BITCOIN,115304.47999407038,18659113982.495464,2297332085237.645
2025-09-23T00:00:00Z,BITCOIN,112696.74101711863,69152342029.46799,2245929069310.8535
2025-09-24T00:00:00Z,BITCOIN,112022.16587861195,46154878824.043465,2232693472656.6514
2025-09-25T00:00:00Z,BITCOIN,113320.56908541008,46677543220.334526,2257741194218.8286
2025-09-26T00:00:00Z,BITCOIN,108963.53013595635,74481796351.47305,2171950311711.4429
2025-09-27T00:00:00Z,BITCOIN,109710.20874667744,55257214020.568245,2185866776171.5464
2025-09-28T00:00:00Z,BITCOIN,109654.81021075726,23294896964.31016,2185203231301.0562
2025-09-29T00:00:00Z,BITCOIN,112142.57362752674,31274654338.51212,2235798877396.134
2025-09-30T00:00:00Z,BITCOIN,114309.15041119447,57833295882.65785,2278362523594.3135
2025-10-01T00:00:00Z,BITCOIN,114024.22783550054,57718901820.70616,2272137555069.4507
2025-10-02T00:00:00Z,BITCOIN,118503.24451752483,69920179085.4708,2359569556068.08
2025-10-03T00:00:00Z,BITCOIN,120611.71911591051,71252850672.75252,2399524207991.5527
2025-10-04T00:00:00Z,BITCOIN,122250.15186842803,83155430408.51796,2436956902844.7153
2025-10-05T00:00:00Z,BITCOIN,122380.93708463266,35161626561.80918,2438832157552.7866
2025-10-06T00:00:00Z,BITCOIN,123506.18520027678,72011486031.26575,2461221856764.1885
2025-10-07T00:00:00Z,BITCOIN,124773.50823074432,69605991064.72382,2486073086655.2866
2025-10-08T00:00:00Z,BITCOIN,121518.75593575071,76087884719.80028,2421938444026.2783
2025-10-09T00:00:00Z,BITCOIN,123352.50487523204,62576032795.36722,2459003621170.118
2025-10-10T00:00:00Z,BITCOIN,121698.03066778315,72097306668.91356,2423288659157.484
2025-10-11T00:00:00Z,BITCOIN,113201.74064138904,151002213089.8765,2265659827789.9917
2025-10-12T00:00:00Z,BITCOIN,110853.11663883903,108643865752.17674,2211404015103.109
2025-10-13T00:00:00Z,BITCOIN,115189.5714637257,93857100744.12454,2294724465036.9785
2025-10-14T00:00:00Z,BITCOIN,115222.28302116522,68935270367.04033,2296863527017.9863
2025-10-15T00:00:00Z,BITCOIN,113156.56943826913,91211854988.91518,2257545230986.0146
2025-10-16T00:00:00Z,BITCOIN,110708.66960879423,68877328886.40259,2207742082237.0483
2025-10-17T00:00:00Z,BITCOIN,108076.72862033188,84773160808.27399,2154964541836.455
2025-10-18T00:00:00Z,BITCOIN,106443.61194984635,94325236794.78163,2123017949517.1426
2025-10-19T00:00:00Z,BITCOIN,107156.00337647724,34412835719.61292,2135575517405.9185
2025-10-20T00:00:00Z,BITCOIN,108621.134857428,45373692612.394394,2165367850075.0042
2025-10-21T00:00:00Z,BITCOIN,110608.5714932665,60452111148.140076,2205571381112.93
2025-10-22T00:00:00Z,BITCOIN,108486.10262716639,105841401713.00197,2162410619417.9114
2025-10-23T00:00:00Z,BITCOIN,107618.4266715404,83996418125.93103,2145773248654.6448
2025-10-24T00:00:00Z,BITCOIN,110048.51827291629,56192643013.57058,2193901841033.9053
2025-10-25T00:00:00Z,BITCOIN,110997.80437129698,49120903424.344864,2213306367536.756
2025-10-26T00:00:00Z,BITCOIN,111620.3093731354,23214874411.212166,2224861052775.0015
2025-10-27T00:00:00Z,BITCOIN,114476.01227508577,42483268634.18711,2283691326423.212
2025-10-28T00:00:00Z,BITCOIN,114182.79442806762,63764801510.65889,2276235094681.6714
2025-10-29T00:00:00Z,BITCOIN,112950.34863259472,66299512352.17796,2254003248725.4917
2025-10-30T00:00:00Z,BITCOIN,110046.66925837283,64235327509.05742,2194746293754.542
2025-10-31T00:00:00Z,BITCOIN,108240.76528725718,72648897659.94229,2157803742876.0747
2025-11-01T00:00:00Z,BITCOIN,109573.90555629115,58800487940.5146,2185193896779.3408
2025-11-02T00:00:00Z,BITCOIN,110014.13556776087,24938475577.849922,2194075979770.0623
2025-11-03T00:00:00Z,BITCOIN,110650.2092823146,35098774843.7742,2201849942058.28
2025-11-04T00:00:00Z,BITCOIN,106521.08673825761,75068433317.86293,2123664079961.7026
2025-11-05T00:00:00Z,BITCOIN,101635.2740227234,108965721650.60309,2026091188341.184
2025-11-06T00:00:00Z,BITCOIN,103877.95965955159,77083907216.62631,2073000557933.8025
2025-11-07T00:00:00Z,BITCOIN,101322.6402945857,64118217249.57436,2019147576692.263
2025-11-08T00:00:00Z,BITCOIN,103396.084215925,93627003785.31018,2063021740892.1375
2025-11-09T00:00:00Z,BITCOIN,102290.13714655167,51095924202.31797,2039995976869.1492
2025-11-10T00:00:00Z,BITCOIN,104709.67861656273,59952468437.71812,2086419359800.0503
2025-11-11T00:00:00Z,BITCOIN,105909.07272321742,67546556819.52642,2112747067951.9028
2025-11-12T00:00:00Z,BITCOIN,102960.77564500563,71008299178.73956,2053215927640.825
2025-11-13T00:00:00Z,BITCOIN,101521.70859453593,63332414142.58827,2025837265459.7573
2025-11-14T00:00:00Z,BITCOIN,99730.4533956204,100463341916.4732,1996168972711.9963
2025-11-15T00:00:00Z,BITCOIN,94456.39368235337,113198323665.38873,1891799949910.1116
2025-11-16T00:00:00Z,BITCOIN,95508.31019889197,39062120798.23745,1905234340631.9912
2025-11-17T00:00:00Z,BITCOIN,94411.32947182967,72645149972.7847,1883240679702.7427
2025-11-18T00:00:00Z,BITCOIN,92036.7255045672,95794596045.06412,1835458818945.8962
2025-11-19T00:00:00Z,BITCOIN,92819.75921500899,103837258806.01602,1851234710246.605
2025-11-20T00:00:00Z,BITCOIN,91363.27838693369,82897875507.45229,1820062799702.324
2025-11-21T00:00:00Z,BITCOIN,86649.97257918229,99171039191.1295,1731258563683.1287
2025-11-22T00:00:00Z,BITCOIN,85051.8019295002,135093457122.46469,1697723941246.0479
2025-11-23T00:00:00Z,BITCOIN,84682.62429147748,42644968955.2184,1690556523055.809
2025-11-24T00:00:00Z,BITCOIN,86783.84766839583,60446592409.29218,1732233225777.4016
2025-11-25T00:00:00Z,BITCOIN,88229.35740719768,77606296173.43544,1761564072532.238
2025-11-26T00:00:00Z,BITCOIN,87310.33159950442,67956444142.18749,1742162762885.542
2025-11-27T00:00:00Z,BITCOIN,90474.22677969698,69690430587.90018,1806439309544.997
2025-11-28T00:00:00Z,BITCOIN,91279.06057176423,59295194347.668594,1821778517479.9226
2025-11-29T00:00:00Z,BITCOIN,90950.37695910994,62833195066.53989,1814919896425.4082
2025-11-30T00:00:00Z,BITCOIN,90841.45258193677,39253888201.69327,1812771321410.9438
2025-12-01T00:00:00Z,BITCOIN,90406.28448571145,40334819409.843475,1807818977105.3909
2025-12-01T22:45:31Z,BITCOIN,86675.71579486522,92503580665.52077,1725896908558.6182
2024-12-02T00:00:00Z,ETHEREUM,3708.8072387383017,29705280034.459038,446664514864.58777
2024-12-03T00:00:00Z,ETHEREUM,3643.855375704235,49031522663.40944,438825980701.30023
2024-12-04T00:00:00Z,ETHEREUM,3625.7104579497204,39557549415.34987,436691206026.36835
2024-12-05T00:00:00Z,ETHEREUM,3839.443460715871,59744855714.19937,462490222624.56714
2024-12-06T00:00:00Z,ETHEREUM,3796.8688671601276,64995601294.502495,457067221118.4413
2024-12-07T00:00:00Z,ETHEREUM,4013.726145388712,55954471926.67034,483422504163.839
2024-12-08T00:00:00Z,ETHEREUM,4000.992076502189,21959792763.543846,481889176555.6843
2024-12-09T00:00:00Z,ETHEREUM,4015.7820212328807,20728146237.12733,483642898147.5037
2024-12-10T00:00:00Z,ETHEREUM,3713.3138979971745,59141397866.09827,446571271919.9886
2024-12-11T00:00:00Z,ETHEREUM,3626.5886417774996,63643513993.15369,436749626813.98615
2024-12-12T00:00:00Z,ETHEREUM,3828.1075883404096,38471623681.40909,461075934206.2153
2024-12-13T00:00:00Z,ETHEREUM,3878.850012073054,47474608675.336655,466883095805.38696
2024-12-14T00:00:00Z,ETHEREUM,3907.4296595053356,36218321642.49857,470469907671.53613
2024-12-15T00:00:00Z,ETHEREUM,3866.9958020348054,28647722345.409325,465713274663.6432
2024-12-16T00:00:00Z,ETHEREUM,3961.3154661802305,24816850994.80954,477323245356.1555
2024-12-17T00:00:00Z,ETHEREUM,3992.857195846062,50679799770.94302,480940541314.61334
2024-12-18T00:00:00Z,ETHEREUM,3879.4062240100893,32823036037.584606,467508439297.98755
2024-12-19T00:00:00Z,ETHEREUM,3628.2624780444953,50734709374.83128,436893612673.4018
2024-12-20T00:00:00Z,ETHEREUM,3434.6754695380805,64452959600.863884,413858693686.69867
2024-12-21T00:00:00Z,ETHEREUM,3468.658920056454,72936574193.4554,417562064054.3703
2024-12-22T00:00:00Z,ETHEREUM,3337.5972231166807,32479699770.041058,401314595520.45166
2024-12-23T00:00:00Z,ETHEREUM,3275.8894274015142,25811397925.979923,394984656581.5222
